group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Idaho,majmatch,1,,actcat,3,20-23,Percent who declared in major area,53.1,188,354,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Idaho,majmatch,1,,actcat,4,24-27,Percent who declared in major area,58.2,177,304,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Idaho,majmatch,1,,actcat,5,28-32,Percent who declared in major area,60,129,215,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Idaho,majmatch,1,,actcat,6,33-36,Percent who declared in major area,69,20,29,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Idaho,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,23.5,8,34,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,35.1,60,171,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,31.1,98,315,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,38.7,101,261,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,44,77,175,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Idaho,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,52.4,11,21,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Illinois,majmatch,1,,actcat,1,1-15,Percent who declared in major area,38.6,518,1341,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,majmatch,1,,actcat,2,16-19,Percent who declared in major area,48.5,1817,3748,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,majmatch,1,,actcat,3,20-23,Percent who declared in major area,55.5,3837,6915,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,majmatch,1,,actcat,4,24-27,Percent who declared in major area,60.2,4428,7350,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,majmatch,1,,actcat,5,28-32,Percent who declared in major area,62.8,3078,4905,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,majmatch,1,,actcat,6,33-36,Percent who declared in major area,67.8,507,748,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Illinois,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,28.4,344,1210,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Illinois,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,33.1,1124,3400,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Illinois,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,39.5,2497,6328,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Illinois,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,43.9,2935,6681,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
